TipoPunto,Categoria,Valores
MADERA ,ORGANO ,HIGADO 
MADERA ,VISCERA,VESICULA BILIAR
MADERA ,GLANDULA ,TIROIDES
MADERA ,ESTRUCTURA,LIGAMENTOS
MADERA ,ESTRUCTURA,TENDONES
MADERA ,ESTRUCTURA,NERVIOS
MADERA ,TEJIDOS ,SANGRE DE ÓRGANOS
MADERA ,TEJIDOS ,SEXUALES 
MADERA ,TEJIDOS ,OJOS
MADERA ,TEJIDOS ,UÑAS
MADERA ,TEJIDOS ,LIGAMENTOS
MADERA ,TEJIDOS ,NERVIOS
MADERA ,TEJIDOS ,TIROIDES 
MADERA ,AGUJERO ,OJOS 
MADERA ,GLORIA ,UNAS 
MADERA ,SUSTANCIA ,SANGRE NUTRIDA
MADERA ,SECRECION,LAGRIMAS
MADERA ,APERTURA SOMATICA,OJOS 
MADERA ,AZUADO ,COLESTEROL TRIGLICÉRIDOS 
MADERA ,ESTACION DEL ANO ,PRIMAVERA
MADERA ,PROCESO,NACIMIENTO
MADERA ,FACTOR CLIMATICO ,VIENTO
MADERA ,COLOR,VERDE
MADERA ,COLOR,CAFE
MADERA ,SABOR ,ÁCIDO
MADERA ,SABOR ,AGRIO 
MADERA ,OLOR ,RANCIO
MADERA ,OLOR ,ALMIZCLE 
MADERA ,EMOCION,ENOJO
MADERA ,EMOCION,IRA
MADERA ,EMOCION,ENVIDIA
MADERA ,EMOCION,CÓLERA
MADERA ,EMOCION,RENCOR
MADERA ,EMOCION,JUZGAR
MADERA ,SENTIDO ,VISTA 
MADERA ,SONIDO ,GRITO O ESTALLIDO 
MADERA ,SONIDO CURATIVO ,SHHHHHH 
MADERA ,PODER ,EXPANSIÓN 
MADERA ,CICLO DEL DÍA ,AMANECER 
MADERA ,MOMENTOVIDA ,NACIMIENTO 
MADERA ,CLIMA ,VIENTO 
MADERA ,FACULTAD ,CONCIENCIA ACTIVA
MADERA ,MOVIL,SERVIRSE ASIMISMO
MADERA ,CUALIDAD ,EMOTIVA 
MADERA ,ACTIVIDAD ,LLEVAR A CABO 
MADERA ,ESTADO ,ESTIMULO 
MADERA ,PUNTO CARDINAL ,ESTE 
MADERA ,CICLOVEGETAL ,GERMINACIÓN 
MADERA ,PLANETA ,JÚPITER 
MADERA ,CICLO VITAL,NACIMIENTO
MADERA ,ENERGIA Y NUTRE,MUSCULOS
MADERA ,ESPIRITUALES,ALMA
MADERA ,ESPIRITUALES,IMAGINACION
MADERA ,VALORES,OPTIMISMO
MADERA ,PSIQUICOS,IMPULSIVO
MADERA ,PSIQUICOS,ACTIVO
MADERA ,PSIQUICOS,AGRESIVO
MADERA ,NOTA MUSICAL,DO
MADERA ,NUMERO,3 Y 4
MADERA ,SISTEMA,NERVIOSO
FUEGO ,ORGANO ,CORAZON 
FUEGO ,VISCERA,INTESTINO DELGADO
FUEGO ,GLANDULA ,HIPOFISIS
FUEGO ,ESTRUCTURA,VASOS ARTERIAS
FUEGO ,TEJIDOS ,HIPÓFISIS
FUEGO ,TEJIDOS ,OÍDO EXTRENO
FUEGO ,TEJIDOS ,LENGUA
FUEGO ,TEJIDOS ,ARTERIAS
FUEGO ,AGUJERO ,LENGUA 
FUEGO ,GLORIA ,TEZ 
FUEGO ,SUSTANCIA ,SANGRE OXIGENADA
FUEGO ,SECRECION,SUDOR
FUEGO ,APERTURA SOMATICA,OREJAS 
FUEGO ,AZUADO ,NO HAY 
FUEGO ,ESTACION DEL ANO ,VERANO
FUEGO ,PROCESO,CRECIMIENTO
FUEGO ,FACTOR CLIMATICO ,CALOR
FUEGO ,COLOR,ROJO 
FUEGO ,SABOR ,AMARGO 
FUEGO ,OLOR ,QUEMADO 
FUEGO ,EMOCION,EUFORIA Y ALEGRÍA EN DESEQUILIBRIO
FUEGO ,EMOCION,EMOCIONES EXACERBADAS 
FUEGO ,SENTIDO ,HABLA 
FUEGO ,SONIDO ,RISAS O RUGIDO 
FUEGO ,SONIDO CURATIVO ,HAAAAAAA 
FUEGO ,PODER ,REALIZACIÓN 
FUEGO ,CICLO DEL DÍA ,MAÑANA 
FUEGO ,MOMENTOVIDA ,ADOLESCENCIA 
FUEGO ,CLIMA ,CALOR 
FUEGO ,FACULTAD ,CONCIENCIA TRASCEDENTE
FUEGO ,MOVIL,DISOLVERSE ASIMISMO
FUEGO ,CUALIDAD ,SENSITIVA 
FUEGO ,ACTIVIDAD ,INTUIR 
FUEGO ,ESTADO ,EXCITACION 
FUEGO ,PUNTO CARDINAL ,SUR 
FUEGO ,CICLOVEGETAL ,MADURACIÓN 
FUEGO ,PLANETA ,MARTE/SOL 
FUEGO ,CICLO VITAL,CRECIMIENTO
FUEGO ,ENERGIA Y NUTRE,CIRCULACION 
FUEGO ,ESPIRITUALES,CONCIENCIA
FUEGO ,VALORES,EMOTIVIDAD
FUEGO ,PSIQUICOS,ANSIEDAD
FUEGO ,PSIQUICOS,ANGUSTIA
FUEGO ,PSIQUICOS,HISTERIA
FUEGO ,NOTA MUSICAL,LA
FUEGO ,NUMERO,9
FUEGO ,SISTEMA,CIRCULATORIO
FUEGO ,SISTEMA,ENDOCRINO
TIERRA ,ORGANO ,BAZO 
TIERRA ,ORGANO ,PANCREAS 
TIERRA ,VISCERA,ESTOMAGO
TIERRA ,GLANDULA ,PANCREAS
TIERRA ,ESTRUCTURA,MUSCULOS
TIERRA ,TEJIDOS ,PÁNCREAS
TIERRA ,TEJIDOS ,BOCA
TIERRA ,TEJIDOS ,LABIOS
TIERRA ,TEJIDOS ,ENCÍAS
TIERRA ,TEJIDOS ,MÚSCULOS
TIERRA ,TEJIDOS ,COLÁGENO
TIERRA ,TEJIDOS ,GRASA 
TIERRA ,AGUJERO ,BOCA 
TIERRA ,GLORIA ,I.C.SUBCUTÁNEO 
